city_grp,device,Transaction_Type,payment_mode,package,labelled,retained
Other,Unknown,Zong,Auto,Weekly,404,229
Other,iOS,Bill Payment,Manual,Half Yearly,5,1
Other,iOS,Bill Payment,Manual,Monthly,134,13
Other,iOS,Bill Payment,Manual,Quarterly,7,0
Other,iOS,Bill Payment,Manual,Weekly,217,17
Other,iOS,Credit/Debit Card,Manual,Half Yearly,4,0
Other,iOS,Credit/Debit Card,Manual,Monthly,383,34
Other,iOS,Credit/Debit Card,Manual,Quarterly,15,1
Other,iOS,Credit/Debit Card,Manual,Weekly,520,90
Other,iOS,Easypaisa,Auto,Half Yearly,23,11
Other,iOS,Easypaisa,Auto,Monthly,741,259
Other,iOS,Easypaisa,Auto,Quarterly,28,14
Other,iOS,Easypaisa,Auto,Weekly,2460,1494
Other,iOS,JazzCash,Manual,Half Yearly,2,0
Other,iOS,JazzCash,Manual,Monthly,258,25
Other,iOS,JazzCash,Manual,Weekly,79,8
Other,iOS,JazzCash Checkout,Auto,Half Yearly,33,19
Other,iOS,JazzCash Checkout,Auto,Monthly,648,416
Other,iOS,JazzCash Checkout,Auto,Quarterly,65,48
Other,iOS,JazzCash Checkout,Auto,Weekly,7138,5352
Other,iOS,Ufone,Auto,Monthly,59,42
Other,iOS,Ufone,Auto,Weekly,834,691
Other,iOS,Zindigi,Manual,Monthly,7,0
Other,iOS,Zindigi,Manual,Weekly,6,1
Other,iOS,Zong,Auto,Half Yearly,1,0
Other,iOS,Zong,Auto,Monthly,6,1
Other,iOS,Zong,Auto,Weekly,233,111
Rawalpindi,Android,Bill Payment,Manual,Monthly,50,6
Rawalpindi,Android,Bill Payment,Manual,Quarterly,1,0
Rawalpindi,Android,Bill Payment,Manual,Weekly,54,5
Rawalpindi,Android,Credit/Debit Card,Manual,Half Yearly,1,0
Rawalpindi,Android,Credit/Debit Card,Manual,Monthly,105,11
Rawalpindi,Android,Credit/Debit Card,Manual,Quarterly,3,0
Rawalpindi,Android,Credit/Debit Card,Manual,Weekly,110,25
